timestamp,frontend_ms,extraction_ms,matching_ms,estimation_ms
1403715903.034058,10.915475,4.895516,6.019959,18.970761
1403715903.134058,6.507948,4.556420,1.951528,16.618720
1403715903.234058,5.993628,4.829360,1.164268,10.659537
1403715903.334058,7.826400,5.669391,2.157009,10.165115
1403715903.434058,11.079405,9.645263,1.434142,19.650336
1403715903.534058,6.827667,4.476849,2.350818,18.887412
1403715903.634058,9.265752,7.586203,1.679549,18.983194
1403715903.734058,6.099550,4.843968,1.255582,20.951494
1403715903.834058,10.840432,8.647264,2.193168,21.901724
1403715903.934058,8.948799,6.070966,2.877833,16.482731
1403715904.034058,7.605268,5.173676,2.431592,19.325787
1403715904.134058,6.963657,5.251265,1.712392,24.040079
1403715904.234058,5.941508,3.742820,2.198688,21.001910
1403715904.334058,8.579203,6.294591,2.284612,19.317910
1403715904.434058,6.426012,5.411810,1.014202,21.114505
1403715904.534058,8.639279,6.353825,2.285454,24.244277
1403715904.634058,6.742646,5.816261,0.926385,21.344073
1403715904.734058,6.530862,4.859598,1.671264,14.883946
1403715904.834058,39.618708,19.339754,20.278954,20.003618
1403715904.934058,39.049743,18.365928,20.683815,19.576455
1403715905.034058,31.904491,16.127073,15.777418,19.730779
1403715905.134058,35.225838,17.960316,17.265522,27.545386
1403715905.234058,38.831678,16.857445,21.974233,22.992060
1403715905.334058,8.216033,6.544769,1.671264,12.330180
1403715905.434058,5.904069,4.698271,1.205798,9.732482
1403715905.534058,5.442509,4.294131,1.148378,10.602749
1403715905.634058,5.372415,4.179853,1.192562,14.519822
1403715905.734058,5.219383,4.157049,1.062334,15.365802
1403715905.834058,5.390560,4.314299,1.076261,15.173286
1403715905.934058,5.617332,4.620222,0.997110,15.435636
1403715906.034058,4.672402,3.730968,0.941434,12.454396
1403715906.134058,37.958996,17.800963,20.158033,13.020575
1403715906.234058,35.170724,16.722358,18.448366,14.418689
1403715906.334058,31.991226,16.086857,15.904369,15.350724
1403715906.434058,33.556398,17.154381,16.402017,23.324476
1403715906.534058,34.390227,15.982869,18.407358,24.145810
1403715906.634058,7.820780,4.701948,3.118832,25.894522
1403715906.734058,6.944108,4.532374,2.411734,22.547124
1403715906.834058,8.936224,5.767257,3.168967,15.197142
1403715906.934058,8.665639,6.735782,1.929857,19.184819
1403715907.034058,9.658480,7.338641,2.319839,19.999511
1403715907.134058,8.405304,4.803722,3.601582,22.310273
1403715907.234058,7.529605,5.463870,2.065735,22.331854
1403715907.334058,7.243429,4.891489,2.351940,22.533607
1403715907.434058,6.358743,5.354961,1.003782,14.473904
1403715907.534058,9.775143,5.664011,4.111132,14.732126
1403715907.634058,7.252948,4.870288,2.382660,18.525894
1403715907.734058,6.725503,5.340034,1.385469,24.233728
1403715907.834058,9.299206,4.453835,4.845371,20.938770
1403715907.934058,5.976446,4.612738,1.363708,22.505686
1403715908.034058,6.317865,5.335203,0.982662,27.811484
1403715908.134058,9.611671,7.606250,2.005421,26.062883
1403715908.234058,6.960691,5.289858,1.670833,24.792913
1403715908.334058,7.952750,4.612126,3.340624,25.200419
1403715908.434058,9.069878,6.931695,2.138183,28.236302
1403715908.534058,4.379623,3.278245,1.101378,30.160068
1403715908.634058,7.363759,4.989305,2.374454,24.591940
1403715908.734058,8.895297,5.132027,3.763270,24.142935
1403715908.834058,7.560634,6.503169,1.057465,28.354698
1403715908.934058,5.341747,4.133615,1.208132,26.255989
1403715909.034058,8.673173,6.869688,1.803485,24.571511
1403715909.134058,8.371718,7.320025,1.051693,22.674036
1403715909.234058,8.410854,6.319890,2.090964,20.736004
1403715909.334058,6.352422,4.286426,2.065996,20.196947
1403715909.434058,9.713806,7.506791,2.207015,20.878475
1403715909.534058,10.933910,9.219524,1.714386,27.414057
1403715909.634058,7.315777,6.030709,1.285068,27.577145
1403715909.734058,7.611100,6.444357,1.166743,22.383693
1403715909.834058,6.576910,5.506350,1.070560,26.546433
1403715909.934058,10.845381,8.668855,2.176526,25.279820
1403715910.034058,8.174765,6.972033,1.202732,34.990971
1403715910.134058,7.051534,5.922633,1.128901,25.906795
1403715910.234058,14.193660,6.308949,7.884711,22.481660
1403715910.334058,9.184958,7.983870,1.201088,31.555967
1403715910.434058,8.016793,5.813896,2.202897,22.129078
1403715910.534058,6.900306,5.588798,1.311508,25.281734
1403715910.634058,6.132583,4.966351,1.166232,19.486464
1403715910.734058,9.579770,7.087312,2.492458,20.178412
1403715910.834058,6.350077,4.161538,2.188539,18.104981
1403715910.934058,9.556907,7.482996,2.073911,21.774623
1403715911.034058,8.391575,3.603844,4.787731,16.605315
1403715911.134058,7.583437,5.147597,2.435840,20.315162
1403715911.234058,7.432090,4.189552,3.242538,16.198578
1403715911.334058,8.231542,6.943609,1.287933,19.648372
1403715911.434058,7.158947,5.203332,1.955615,17.081482
1403715911.534058,36.981863,19.525498,17.456365,21.979373
1403715911.634058,42.101207,19.969003,22.132204,20.228057
1403715911.734058,40.515054,19.458951,21.056103,18.063843
1403715911.834058,33.652492,17.285952,16.366540,21.935309
1403715911.934058,31.537881,15.963151,15.574730,22.986682
1403715912.034058,6.975389,5.214193,1.761196,25.676717
1403715912.134058,9.815891,5.942251,3.873640,24.210543
1403715912.234058,6.733137,4.838658,1.894479,18.714383
1403715912.334058,8.648015,5.571063,3.076952,14.259926
1403715912.434058,7.613895,4.336151,3.277744,20.610214
1403715912.534058,9.223712,7.085539,2.138173,20.930003
1403715912.634058,9.514336,7.172966,2.341370,18.391515
1403715912.734058,5.936740,4.975148,0.961592,21.908297
1403715912.834058,5.575482,4.141389,1.434093,14.830884
1403715912.934058,10.369685,8.272309,2.097376,10.827888
1403715913.034058,7.640114,6.285013,1.355101,14.127033
1403715913.134058,9.399127,5.035874,4.363253,12.463504
1403715913.234058,8.707558,6.599011,2.108547,19.477868
1403715913.334058,7.301499,5.285860,2.015639,14.889937
1403715913.434058,8.278852,5.422120,2.856732,13.300428
1403715913.534058,6.528728,4.801447,1.727281,12.657895
1403715913.634058,8.763786,6.255758,2.508028,14.645551
1403715913.734058,9.766647,7.382985,2.383662,16.091716
1403715913.834058,9.092903,7.254761,1.838142,17.257708
1403715913.934058,6.904413,4.886699,2.017714,19.447309
1403715914.034058,8.543025,6.127934,2.415091,19.593237
1403715914.134058,6.032151,4.751241,1.280910,22.594825
1403715914.234058,7.670372,4.917498,2.752874,19.694428
1403715914.334058,6.865269,5.294717,1.570552,26.225802
1403715914.434058,7.768590,5.451956,2.316634,24.728160
1403715914.534058,6.887160,5.539072,1.348088,30.032194
